name,address line 1,address line 2,address line 3,city,state,zip code,latitude,longitude,distance,rating,review_count,url,price
eatsa,121 Spear St,,,San Francisco,CA,94105,37.7918745246729,-122.392942129465,2.181441701656,4.0,379,https://www.yelp.com/biz/eatsa-san-francisco-2?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
Amawele's South African Kitchen,101 Spear St,,,San Francisco,CA,94105,37.7922835,-122.3929328,33.49442576482,4.0,177,https://www.yelp.com/biz/amaweles-south-african-kitchen-san-francisco-2?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
Casey's Pizza,,,,San Francisco,CA,94105,37.7920876,-122.3938666,80.74598391701998,4.0,179,https://www.yelp.com/biz/caseys-pizza-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$$
App Academy,160 Spear St,,,San Francisco,CA,94105,37.7917926016916,-122.393257008099,25.316052784700002,5.0,58,https://www.yelp.com/biz/app-academy-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Yank Sing,101 Spear St,,,San Francisco,CA,94105,37.7927224142545,-122.39312659859,84.90137060798,3.5,2136,https://www.yelp.com/biz/yank-sing-san-francisco-2?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$$$
Nas Coffee,101 Spear St,,,San Francisco,CA,94105,37.7924983,-122.3931387,61.61631294998,4.0,33,https://www.yelp.com/biz/nas-coffee-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
Bay Area Box Express,,,,San Francisco,CA,94105,37.7929386536957,-122.3923764021,112.74353679839999,5.0,670,https://www.yelp.com/biz/bay-area-box-express-san-francisco-3?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
"Michael J Perona, DDS",188 Spear St,Ste 105,,San Francisco,CA,94105,37.791345576672,-122.393215682343,55.79650498817999,5.0,39,https://www.yelp.com/biz/michael-j-perona-dds-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Working Girls' Cafe,101 Mission St,Ste 140,,San Francisco,CA,94105,37.7923363983791,-122.394199561731,117.66703894059998,4.0,212,https://www.yelp.com/biz/working-girls-cafe-san-francisco-2?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
Heyday,180 Spear St,,,San Francisco,CA,94105,37.791257617106,-122.393046514818,59.2356372094,3.5,149,https://www.yelp.com/biz/heyday-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$$
Starbucks,201 Spear St,Ste 100,,San Francisco,CA,94105,37.7913120739484,-122.392264909477,68.78403489416,3.5,101,https://www.yelp.com/biz/starbucks-san-francisco-154?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
49 Square Tours,182 Howard St,Ste 157,,San Francisco,CA,94105,37.7910309,-122.3933868,97.36073443804,5.0,45,https://www.yelp.com/biz/49-square-tours-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Carly Tabak Photography,201 Spear St,Ste 1100,,San Francisco,CA,94105,37.79105,-122.3919678,100.76371605483999,5.0,90,https://www.yelp.com/biz/carly-tabak-photography-san-francisco-2?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Chaya Brasserie,132 The Embarcadero,,,San Francisco,CA,94105,37.793168,-122.392192,142.46320248499998,4.0,1752,https://www.yelp.com/biz/chaya-brasserie-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$$$
The Dailey Method,121 Spear St,Rincon Ctr,,San Francisco,CA,94105,37.7918797939505,-122.392748594284,2.181441701656,4.5,101,https://www.yelp.com/biz/the-dailey-method-san-francisco-2?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Super Duper Burger,98 Mission St,,,San Francisco,CA,94105,37.7928058550794,-122.394083711639,137.6645368466,4.0,306,https://www.yelp.com/biz/super-duper-burger-san-francisco-3?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
Lee's Deli,170 Spear St,,,San Francisco,CA,94105,37.791538730516,-122.393124523158,33.102643207199996,3.0,120,https://www.yelp.com/biz/lees-deli-san-francisco-6?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
Yank Sing 2 Go,101 Spear St,,,San Francisco,CA,94105,37.7924892612207,-122.392997852557,57.11152406096,3.0,240,https://www.yelp.com/biz/yank-sing-2-go-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
CAD Simplified,201 Spear St,Ste 1100,,San Francisco,CA,94105,37.791226,-122.3919664,93.7866139963,5.0,41,https://www.yelp.com/biz/cad-simplified-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Pier 14,The Embarcadero and Mission St,,,San Francisco,CA,94105,37.7934603643462,-122.391741933959,189.024064096,4.5,47,https://www.yelp.com/biz/pier-14-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
The Embarcadero Waterfront,Pier 7 The Embarcadero,,,San Francisco,CA,94111,37.7930582787399,-122.391514778137,163.39492226099998,4.0,153,https://www.yelp.com/biz/the-embarcadero-waterfront-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Town Limousine,956 Post St,,,San Francisco,CA,94109,37.7922154,-122.3920063,70.77753078952,4.5,58,https://www.yelp.com/biz/town-limousine-san-francisco-4?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
"Spartan Van Lines, Inc.",201 Spear St,Ste 1100,,San Francisco,CA,94105,37.79105,-122.39197,100.76371605483999,5.0,24,https://www.yelp.com/biz/spartan-van-lines-inc-san-francisco-2?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Arabi Mideterranean Cuisine,101 Spear St,,,San Francisco,CA,94105,37.7925501,-122.3933707,75.75648435076,3.5,98,https://www.yelp.com/biz/arabi-mideterranean-cuisine-san-francisco?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,$
The Law Office of Nors Davidson,201 Spear St,Ste 1100,,San Francisco,CA,94105,37.791226,-122.3919665,93.7866139963,5.0,25,https://www.yelp.com/biz/the-law-office-of-nors-davidson-san-francisco-3?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
Douglas Greenberg,201 Spear St,Ste 1100,,San Francisco,CA,94105,37.79105,-122.3919678,107.91394930124001,5.0,31,https://www.yelp.com/biz/douglas-greenberg-san-francisco-4?adjust_creative=LtsNT-6doO-eV-aTZRVFfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LtsNT-6doO-eV-aTZRVFfA,NULL
